M E_tot E_int S T a b c LL_index
0 10.795774715439908 0.7957747154399083 0 63. 0 0 0 1
3 10.656514140239201 0.6565141402392012 0.9999999999999998 79.99999999999999 0 0 0 1
3 10.77588034755792 0.7758803475579188 0 79.99999999999999 0 0 0 1
6 10.656514140243507 0.6565141402435066 0 99. 0 0 0 0
1 11.362969542678659 0.696302876011993 1.0000000000000002 80.00000000000003 0 0 0 1
1 11.303286439019484 0.6366197723528183 1.0000000000000002 80.00000000000003 0 0 0 1
1 11.402758278451579 0.7360916117849127 0 80.00000000000004 0 0 0 1
1 11.46244138211086 0.7957747154441946 0 63.00000000000002 0 1.0000000000000007 0 1
4 11.283392071136321 0.6167254044696544 1.0000000000000002 99.00000000000003 0 0 0 1
4 11.203814599590478 0.5371479329238115 1.0000000000000002 99.00000000000004 0 0 0 1
4 11.414805338303461 0.7481386716367957 0 98.99999999999996 0 0 0 1
4 11.271345011287258 0.6046783446205916 0 98.99999999999997 0 0 0 1
4 11.323180806907619 0.6565141402409526 0.9999999999999998 79.99999999999999 0 0.9999999999999999 0 1
4 11.44254701422571 0.7758803475590441 0 79.99999999999997 0 1. 0 1
7 11.223708967477934 0.5570423008112687 0.9999999999999998 119.99999999999999 0 0 0 0
7 11.323180806910369 0.6565141402437017 0 98.99999999999999 0 1. 0 0
-1 12.029636209345327 0.6963028760119928 1. 80.00000000000001 0 0 0 2
-1 11.969953105686152 0.6366197723528183 1.0000000000000002 80.00000000000001 0 0 0 2
-1 12.069424945118246 0.7360916117849121 0 80. 0 0 0 2
-1 12.129108048777528 0.7957747154441944 0 62.99999999999999 0 0 1.0000000000000002 2
2 11.771009426826089 0.43767609349275477 2.0000000000000004 99.00000000000001 0 0 0 1
2 12.037394974725919 0.7040616413925841 1.0000000000000002 99.00000000000003 0 0 0 2
2 11.981415861497625 0.6480825281642911 0.9999999999999998 98.99999999999999 0 0 0 2
2 11.880898915972823 0.5475655826394891 1.0000000000000004 99.00000000000003 0 0 0 2
2 11.860736463242805 0.527403129909472 0.9999999999999998 98.99999999999999 0 0 0 2
2 12.167110230612115 0.8337768972787815 0 99. 0 0 0 2
2 12.065222569958795 0.7318892366254613 0 98.99999999999996 0 0 0 2
2 12.026327419622984 0.6929940862896493 0 99.00000000000007 0 0 0 2
2 11.945956527639936 0.6126231943066025 0 98.99999999999999 0 0 0 2
2 11.863986827362831 0.5306534940294966 0 99.00000000000001 0 0 0 2
2 12.029636209347345 0.6963028760140108 1.0000000000000002 80.00000000000001 0 1.0000000000000007 0 1
2 11.969953105688376 0.6366197723550422 1.0000000000000004 80.00000000000003 0 1.0000000000000009 0 1
2 11.98984747357598 0.6565141402426456 1. 79.99999999999999 0 0 1.0000000000000004 2
2 12.109213680894475 0.775880347561141 0 80. 0 0 1.0000000000000009 2
2 12.069424945120321 0.7360916117869879 0 80.00000000000004 0 1.0000000000000004 0 1
2 12.129108048780344 0.7957747154470101 0 62.99999999999996 0 2. 0 1
5 11.71132632316658 0.37799298983324603 1.9999999999999991 119.99999999999993 0 0 0 1
5 11.983482270719723 0.6501489373863878 1. 119.99999999999997 0 0 0 1
5 11.947446145731883 0.6141128123985486 0.9999999999999998 119.99999999999997 0 0 0 1
5 11.926751036017883 0.59341770268455 1. 119.99999999999996 0 0 0 1
5 11.814802365558522 0.48146903222518783 0.9999999999999998 119.99999999999994 0 0 0 1
5 11.814211496500995 0.4808781631676604 1.0000000000000002 120.00000000000003 0 0 0 1
5 12.068399297855718 0.7350659645223843 0 119.99999999999993 0 0 0 1
5 11.950058737802385 0.6167254044690509 0 119.99999999999994 0 0 0 1
5 11.87648050549475 0.5431471721614177 0 119.99999999999993 0 0 0 1
5 11.9500587378039 0.6167254044705657 0.9999999999999998 98.99999999999994 0 0.9999999999999998 0 1
5 11.870481266257848 0.537147932924514 0.9999999999999998 99. 0 1. 0 1
5 12.081472004970541 0.7481386716372065 0 98.99999999999997 0 1. 0 1
5 11.98984747357619 0.6565141402428564 0 98.99999999999999 0 0 1.0000000000000004 1
5 11.938011677955528 0.604678344622193 0 98.99999999999991 0 0.9999999999999997 0 1
5 11.989847473576623 0.6565141402432892 0.9999999999999998 79.99999999999997 0 1.9999999999999998 0 1
5 12.109213680895106 0.7758803475617725 0 79.99999999999997 0 1.9999999999999998 0 1
8 11.815771754573479 0.482438421240146 1. 142.99999999999997 0 0 0 0
8 11.96575287952705 0.6324195461937168 0 143. 0 0 0 0
8 11.805051204822698 0.4717178714893641 0 142.99999999999997 0 0 0 0
8 11.890375634146324 0.5570423008129902 1. 120.00000000000003 0 1.0000000000000002 0 0
8 11.98984747357749 0.6565141402441553 0 99.00000000000003 0 2.000000000000001 0 0
-3 12.656514140239201 0.6565141402392012 0.9999999999999998 79.99999999999999 0 0 0 2
-3 12.77588034755792 0.7758803475579188 0 79.99999999999999 0 0 0 2
0 12.397887357719776 0.3978873577197765 2. 98.99999999999997 0 0 0 2
0 12.69630287601344 0.6963028760134413 1.0000000000000002 99.00000000000004 0 0 0 2
0 12.688455567977936 0.6884555679779365 0.9999999999999998 98.99999999999997 0 0 0 2
0 12.60423733818485 0.6042373381848505 1. 99.00000000000001 0 0 0 2
0 12.544995240963438 0.5449952409634371 0.9999999999999996 98.99999999999993 0 0 0 2
0 12.489952895549528 0.48995289554952837 0.9999999999999998 98.99999999999997 0 0 0 2
0 12.872849057829677 0.8728490578296776 0 99.00000000000001 0 0 0 2
0 12.740969687228999 0.7409696872289991 0 99. 0 0 0 2
0 12.656514140241523 0.6565141402415231 0 98.99999999999997 0 0 0 2
0 12.594456090308144 0.5944560903081436 0 99. 0 0 0 2
0 12.696302876014936 0.6963028760149359 0.9999999999999998 79.99999999999996 0 0.9999999999999999 0 2
0 12.696302876014936 0.6963028760149361 1. 80.00000000000001 0 0 1.0000000000000004 2
0 12.636619772356237 0.6366197723562376 0.9999999999999998 79.99999999999997 0 1. 0 2
0 12.636619772356237 0.6366197723562377 0.9999999999999998 79.99999999999997 0 0 0.9999999999999999 2
0 12.736091611787325 0.7360916117873252 0 80. 0 1. 0 2
0 12.736091611787325 0.7360916117873251 0 80.00000000000001 0 0 1.0000000000000002 2
0 12.795774715446703 0.7957747154467019 0 62.99999999999998 0 0.9999999999999998 0.9999999999999998 2
0 12.795774715445432 0.7957747154454328 0 63. 1.0000000000000002 0 0 2
3 12.417781725606194 0.41778172560619325 2. 119.99999999999997 0 0 0 1
3 12.318309886177978 0.31830988617797873 1.9999999999999996 119.9999999999999 0 0 0 1
3 12.698595484682674 0.6985954846826745 1.0000000000000002 120. 0 0 0 2
3 12.653192347684136 0.6531923476841359 1. 119.99999999999994 0 0 0 2
3 12.634207895899328 0.6342078958993284 1.0000000000000004 120.00000000000006 0 0 0 2
3 12.59209289508445 0.5920928950844507 1. 119.99999999999997 0 0 0 2
3 12.580628290064409 0.580628290064409 0.9999999999999998 119.99999999999991 0 0 0 2
3 12.526126880599952 0.5261268805999518 1.0000000000000002 120.00000000000003 0 0 0 2
3 12.49423403071364 0.49423403071364 1.0000000000000009 120.0000000000001 0 0 0 2
3 12.478484478684258 0.47848447868425875 1.0000000000000004 120.00000000000006 0 0 0 2
3 12.42650750191849 0.426507501918489 0.9999999999999998 119.99999999999993 0 0 0 2
3 12.381907771387217 0.38190777138721693 0.9999999999999993 119.9999999999999 0 0 0 2
3 12.738712622927723 0.7387126229277233 0 119.99999999999996 0 0 0 2
3 12.701718632444702 0.7017186324447031 0 120.00000000000001 0 0 0 2
3 12.641998135029105 0.6419981350291045 0 120.00000000000001 0 0 0 2
3 12.576936668698965 0.5769366686989648 0 120.00000000000003 0 0 0 2
3 12.53987936949301 0.5398793694930091 0 119.99999999999994 0 0 0 2
3 12.466291854429311 0.4662918544293121 0 119.99999999999993 0 0 0 2
3 12.437676093493423 0.4376760934934218 2. 98.99999999999996 0 1.0000000000000004 0 1
3 12.70406164139279 0.7040616413927904 1. 98.99999999999994 0 1. 0 2
3 12.648082528166348 0.6480825281663477 0.9999999999999998 98.99999999999994 0 1.0000000000000002 0 2
3 12.616725404469529 0.6167254044695286 1. 98.99999999999993 0 0 1.0000000000000002 2
3 12.547565582641289 0.5475655826412886 0.9999999999999998 99. 0 1.0000000000000002 0 2
3 12.52740312991067 0.5274031299106704 1.0000000000000002 99. 0 1.0000000000000002 0 2
3 12.53714793292652 0.5371479329265186 1.0000000000000007 99.00000000000003 0 0 1.0000000000000009 2
3 12.833776897280034 0.833776897280034 0 99.00000000000001 0 1.0000000000000004 0 2
3 12.731889236627167 0.7318892366271671 0 98.99999999999996 0 1.0000000000000004 0 2
3 12.74813867163736 0.7481386716373606 0 99.00000000000001 0 0 1.0000000000000007 2
3 12.692994086291003 0.6929940862910038 0 98.99999999999996 0 1. 0 2
3 12.612623194306439 0.6126231943064385 0 99.00000000000003 0 1.0000000000000007 0 2
3 12.60467834462213 0.6046783446221292 0 99.00000000000001 0 0 1.0000000000000007 2
3 12.530653494030465 0.530653494030465 0 99. 0 1.0000000000000004 0 2
3 12.696302876016404 0.6963028760164038 1.0000000000000002 80. 0 2.0000000000000013 0 1
3 12.636619772356957 0.6366197723569571 1.0000000000000002 79.99999999999999 0 2.000000000000001 0 1
3 12.656514140243614 0.656514140243614 1.0000000000000002 80. 0 1.0000000000000007 1.0000000000000009 2
3 12.656514140242756 0.656514140242756 1.0000000000000002 79.99999999999997 1.0000000000000004 0 0 2
3 12.775880347561923 0.7758803475619231 0 79.99999999999994 0 0.9999999999999998 1. 2
3 12.736091611788828 0.7360916117888281 0 79.99999999999997 0 2.000000000000001 0 1
3 12.77588034756126 0.7758803475612599 0 79.99999999999993 1.0000000000000002 0 0 2
3 12.795774715448992 0.7957747154489925 0 62.999999999999964 0 3.0000000000000004 0 1
